Cells,BACH2(+),BCL6(+),EGR1(+),FOSB(+),FOXO1(+),FOXP1(+),IKZF1(+),IRF4(+),IRF8(+),JUN(+),JUNB(+),MYC(+),PAX5(+),PRDM1(+),RUNX3(+),STAT1(+),STAT3(+),STAT4(+),STAT5A(+),TBX21(+)
617470,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
623403,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
627991,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
630125,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
630293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
637327,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
641206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
645507,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0
647408,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
648605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
649540,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0
652477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
659437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
662887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
668050,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
672168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
676050,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
678552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
679705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
680393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
682072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
685783,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
689384,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
689618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
691869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
696525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
697294,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
698288,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
700501,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
709299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
712552,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
715038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
717136,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
720403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
720894,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
724713,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
725932,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
727435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
727913,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
728034,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0
728910,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
738717,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
743019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
744036,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
745249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
748149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
749201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
750052,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
751130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
764220,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
772200,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
773202,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
773270,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
777661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
782143,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
784447,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0
790924,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
